study_hours,attendance,previous_marks,G2,final_marks
4,96,90,11,76
4,98,92,11,90
4,94,85,13,91
6,100,14,14,14
4,100,52,13,89
4,94,12,12,13
4,100,13,12,13
4,98,10,13,13
4,100,15,16,17
4,100,12,12,13
4,98,14,14,14
6,100,10,12,13
2,100,12,13,12
4,100,12,12,13
6,100,14,14,15
2,94,17,17,17
6,90,13,13,14
4,98,13,14,14
2,98,8,8,7
2,94,12,12,12
4,100,12,13,14
2,100,11,12,12
4,100,12,13,14
4,98,10,10,10
6,98,10,11,10
2,94,10,11,12
2,92,11,12,12
2,100,11,11,11
4,98,12,12,13
4,96,12,11,12
4,100,10,11,11
4,98,15,15,15
4,100,13,14,15
4,100,13,12,12
2,96,12,12,12
2,96,11,11,11
6,100,14,14,14
6,96,13,13,13
6,98,11,12,12
2,92,14,13,12
4,84,11,11,10
2,92,10,11,11
4,100,14,15,15
2,100,9,10,10
4,86,10,11,11
4,96,10,11,11
4,94,13,12,13
8,98,17,17,17
4,96,11,12,13
4,98,13,12,12
4,100,14,13,13
4,100,16,14,16
2,96,10,9,9
2,100,13,12,12
2,100,13,12,13
4,98,12,13,12
4,100,15,14,15
4,92,15,15,16
4,100,14,13,14
4,98,16,15,16
4,100,17,16,16
2,100,10,10,16
4,100,13,13,10
6,100,14,13,13
4,100,13,12,12
4,98,16,15,16
8,100,11,12,12
8,100,10,9,10
4,100,11,10,11
8,94,15,15,15
8,98,13,11,11
8,100,11,9,10
4,98,13,11,11
2,100,13,13,14
4,96,11,11,11
4,100,11,11,11
8,100,12,11,11
8,99,13,13,13
2,100,9,9,10
4,86,12,11,11
2,100,11,11,12
6,98,10,9,9
4,96,12,11,11
4,98,13,12,13
4,98,13,12,12
4,96,12,11,12
4,94,13,11,11
6,96,15,15,15
4,94,12,10,11
4,94,9,9,10
6,98,9,11,11
2,94,14,13,13
4,100,12,13,12
4,98,13,14,14
8,98,11,12,12
8,96,13,13,13
2,94,9,11,11
4,100,13,12,12
2,96,12,13,13
6,98,12,13,13
2,88,9,9,8
6,100,16,16,16
2,98,12,13,12
4,84,11,10,10
4,100,16,16,16
8,90,10,10,10
8,96,10,10,10
6,96,13,14,14
8,92,12,10,11
6,98,15,15,14
2,96,13,14,14
6,96,11,11,11
4,88,8,10,10
2,90,18,17,18
4,96,10,9,10
4,94,16,14,14
4,96,16,15,16
2,94,14,14,15
4,86,12,11,11
2,98,14,13,14
4,100,14,14,14
8,94,14,13,13
4,98,14,12,13
2,96,12,13,13
4,100,12,11,11
2,98,9,9,9
4,100,10,11,11
4,100,9,10,11
2,92,14,14,15
6,96,13,12,13
6,100,10,11,12
4,90,10,9,8
2,92,11,10,11
2,94,11,12,13
2,98,13,12,12
2,88,15,13,14
2,96,9,9,11
2,88,13,11,11
4,98,12,11,11
6,96,13,14,15
4,98,10,9,10
4,100,14,13,13
2,98,11,11,12
6,90,12,11,11
2,92,12,11,11
2,96,9,9,10
4,100,10,10,10
2,94,13,14,14
2,98,8,9,9
8,94,9,11,11
4,76,9,8,9
6,100,15,13,13
2,96,12,11,11
6,98,13,13,13
2,96,10,11,11
2,78,9,7,6
4,100,12,12,12
2,100,11,10,10
4,98,11,11,11
4,94,13,12,13
4,94,11,11,11
2,84,9,9,8
2,100,12,11,11
2,100,11,9,0
2,94,9,10,10
6,98,13,13,13
2,94,11,9,11
2,100,13,13,13
4,100,7,8,8
2,86,9,8,10
2,94,11,10,11
2,96,12,10,11
4,100,10,10,1
2,100,9,8,10
2,92,8,8,9
4,96,7,6,8
2,98,8,9,10
2,98,9,8,8
4,100,8,8,8
2,90,8,7,8
4,100,9,10,11
4,100,17,17,18
4,100,12,12,13
4,100,16,16,17
2,96,9,9,10
4,100,16,17,18
4,100,11,9,10
4,100,14,13,13
4,100,14,14,15
4,100,10,11,11
4,100,13,12,14
4,96,11,9,10
2,92,10,9,11
4,96,11,11,13
4,96,11,10,11
4,100,11,12,13
4,100,17,18,17
4,68,14,13,14
4,92,14,15,16
4,94,11,13,14
2,100,10,9,11
4,100,13,14,16
4,90,12,13,14
4,94,9,9,10
4,94,12,12,13
4,100,12,11,12
4,84,10,11,12
2,100,11,10,10
2,100,13,12,12
4,92,14,15,16
2,96,13,13,14
2,84,10,11,12
2,70,14,15,16
4,100,11,10,11
4,98,14,14,15
4,96,11,12,12
4,100,14,15,15
2,79,13,13,13
8,94,13,13,13
6,86,8,9,8
4,98,11,11,12
4,96,14,15,15
2,98,12,13,13
6,100,11,12,12
8,96,12,12,12
4,85,13,12,12
4,100,13,13,13
4,90,12,11,11
2,94,12,11,11
4,98,14,16,15
4,84,11,9,10
4,90,10,10,10
2,96,12,13,13
6,100,12,12,13
4,100,11,10,11
6,88,12,12,12
4,100,13,13,14
4,91,10,9,10
6,96,15,16,16
4,96,8,8,8
4,98,17,18,17
4,100,10,11,11
4,98,9,10,11
6,100,15,15,16
4,100,14,12,12
4,100,12,13,13
4,100,13,13,13
4,100,13,13,14
4,98,9,9,9
6,100,12,12,12
4,100,16,16,16
2,96,9,10,10
4,100,14,13,13
4,82,10,10,10
4,84,9,8,10
2,86,8,7,7
2,74,7,8,8
2,94,10,8,9
4,96,14,14,15
6,90,11,10,10
2,96,12,11,11
4,98,13,13,13
2,86,9,9,8
4,84,8,7,8
2,92,11,9,10
6,96,15,14,15
4,96,15,14,14
4,92,15,15,15
4,100,12,12,12
2,93,14,14,15
2,96,14,15,15
4,98,11,11,12
6,98,13,14,15
6,90,11,11,11
4,90,10,9,10
6,90,12,10,11
2,93,15,16,16
4,96,11,10,11
2,98,9,12,13
2,88,7,8,5
4,92,10,9,10
2,100,11,12,11
2,92,7,8,7
4,96,9,11,10
2,96,7,8,6
2,98,14,13,12
2,100,12,12,13
2,100,9,10,10
4,98,12,12,13
8,98,14,15,17
4,100,10,10,11
4,96,11,10,11
6,98,11,12,14
6,96,11,12,14
4,96,11,11,13
4,96,11,13,14
4,98,16,16,16
2,100,9,10,10
8,98,10,11,12
4,92,10,12,12
4,98,15,15,15
4,98,10,10,11
6,98,10,11,12
6,98,15,12,13
6,100,11,12,13
2,92,8,8,9
4,94,15,16,16
4,100,11,11,14
4,92,10,11,12
4,96,10,12,14
4,88,8,9,10
4,84,11,12,12
8,90,16,16,16
4,98,13,13,13
4,98,16,17,18
4,92,14,14,15
4,94,15,16,16
4,94,12,12,12
4,85,12,9,10
2,94,11,12,12
4,98,14,12,13
6,92,13,15,15
4,100,9,8,10
2,100,10,10,10
2,90,10,10,11
2,78,11,11,10
2,82,13,13,13
8,98,17,17,18
4,100,12,13,13
4,88,12,12,14
4,90,12,13,14
4,100,12,12,12
6,100,18,18,18
6,100,13,13,14
6,100,14,15,15
4,100,17,17,17
4,98,15,16,16
6,100,17,18,18
8,100,18,19,19
6,100,14,15,15
2,100,14,15,15
4,98,14,13,13
4,100,13,14,14
8,100,16,17,17
2,100,18,18,17
4,100,14,15,15
2,100,12,13,13
6,100,7,7,8
6,100,16,16,16
8,100,18,18,18
6,100,9,10,11
2,100,14,15,15
4,100,10,10,11
4,98,10,10,11
4,98,12,12,15
4,98,11,12,14
2,98,15,16,17
6,98,14,15,17
2,92,12,12,15
6,98,15,15,17
4,92,11,12,14
4,91,11,10,10
4,100,12,11,13
2,96,11,12,14
2,98,14,15,17
4,86,15,14,17
4,100,12,12,13
4,98,11,12,14
2,98,8,9,11
6,88,10,10,11
4,98,8,8,9
2,98,10,10,10
4,96,14,13,13
6,100,11,11,10
6,100,17,18,17
6,100,14,14,15
6,100,14,14,14
6,100,13,14,13
2,100,17,18,17
